Date,Close,125MA,Spread
2015-08-04,2027.99,2054.8992,-26.9092
2015-08-05,2029.76,2055.5216,-25.7616
2015-08-06,2013.29,2055.9256,-42.6356
2015-08-07,2010.23,2056.38472,-46.15472
2015-08-10,2003.17,2056.76592,-53.59592
2015-08-11,1986.65,2057.08312,-70.43312
2015-08-12,1975.47,2057.4,-81.93
2015-08-13,1983.46,2057.70208,-74.24208
2015-08-17,1968.52,2057.9172,-89.3972
2015-08-18,1956.26,2057.90728,-101.64728
2015-08-19,1939.38,2057.75648,-118.37648
2015-08-20,1914.55,2057.38128,-142.83128
2015-08-21,1876.07,2056.64272,-180.57272
2015-08-24,1829.81,2055.47224,-225.66224
2015-08-25,1846.63,2054.32152,-207.69152
2015-08-26,1894.09,2053.5296,-159.4396
2015-08-27,1908,2052.9072,-144.9072
2015-08-28,1937.67,2052.43408,-114.76408
2015-08-31,1941.49,2051.95496,-110.46496
2015-09-01,1914.23,2051.28248,-137.05248
2015-09-02,1915.22,2050.6172,-135.3972
2015-09-03,1915.53,2049.83792,-134.30792
2015-09-04,1886.04,2048.98368,-162.94368
2015-09-07,1883.22,2048.17128,-164.95128
2015-09-08,1878.68,2047.35408,-168.67408
2015-09-09,1934.2,2047.06296,-112.86296
2015-09-10,1962.11,2046.87352,-84.76352
2015-09-11,1941.37,2046.50584,-105.13584
2015-09-14,1931.46,2045.71824,-114.25824
2015-09-15,1937.56,2044.99112,-107.43112
2015-09-16,1975.45,2044.4916,-69.0416
2015-09-17,1976.49,2044.0056,-67.5156
2015-09-18,1995.95,2043.68048,-47.73048
2015-09-21,1964.68,2043.06696,-78.38696
2015-09-22,1982.06,2042.58096,-60.52096
2015-09-23,1944.64,2041.9576,-97.3176
2015-09-24,1947.1,2041.376,-94.276
2015-09-25,1942.85,2040.67848,-97.82848
2015-09-30,1962.81,2040.05272,-77.24272
2015-10-01,1979.32,2039.65968,-60.33968
2015-10-02,1969.68,2039.18456,-69.50456
2015-10-05,1978.25,2038.6472,-60.3972
2015-10-06,1990.65,2038.20096,-47.55096
2015-10-07,2005.84,2037.87144,-32.03144
2015-10-08,2019.53,2037.5536,-18.0236
2015-10-12,2021.63,2037.25568,-15.62568
2015-10-13,2019.05,2036.706,-17.656
2015-10-14,2009.55,2035.99104,-26.44104
2015-10-15,2033.27,2035.36344,-2.09344
2015-10-16,2030.26,2034.64584,-4.38584
2015-10-19,2030.27,2033.7688,-3.4988
2015-10-20,2039.36,2032.93568,6.42432
2015-10-21,2042.98,2032.10584,10.87416
2015-10-22,2023,2031.13152,-8.13152
2015-10-23,2040.4,2030.3036,10.0964
2015-10-26,2048.08,2029.30096,18.77904
2015-10-27,2044.65,2028.37976,16.27024
2015-10-28,2042.51,2027.45952,15.05048
2015-10-29,2034.16,2026.55144,7.60856
2015-10-30,2029.47,2025.64616,3.82384
2015-11-02,2035.24,2024.91072,10.32928
2015-11-03,2048.4,2024.24008,24.15992
2015-11-04,2052.77,2023.8256,28.9444
2015-11-05,2049.41,2023.49288,25.91712
2015-11-06,2041.07,2023.13728,17.93272
2015-11-09,2025.7,2022.56384,3.13616
2015-11-10,1996.59,2021.7624,-25.1724
2015-11-11,1997.27,2020.82728,-23.55728
2015-11-12,1993.36,2019.81152,-26.45152
2015-11-13,1973.29,2018.74584,-45.45584
2015-11-16,1943.02,2017.38024,-74.36024
2015-11-17,1963.58,2016.12208,-52.54208
2015-11-18,1962.88,2014.7088,-51.8288
2015-11-19,1988.91,2013.6376,-24.7276
2015-11-20,1989.86,2012.38768,-22.52768
2015-11-23,2003.7,2011.26928,-7.56928
2015-11-24,2016.29,2010.5396,5.7504
2015-11-25,2009.42,2009.72784,-0.30784
2015-11-26,2030.68,2009.05488,21.62512
2015-11-27,2028.99,2008.46784,20.52216
2015-11-30,1991.97,2007.77448,-15.80448
2015-12-01,2023.93,2007.46064,16.46936
2015-12-02,2009.29,2006.95208,2.33792
2015-12-03,1994.07,2006.35984,-12.28984
2015-12-04,1974.4,2005.63352,-31.23352
2015-12-07,1963.67,2004.83064,-41.16064
2015-12-08,1949.04,2004.0124,-54.9724
2015-12-09,1948.24,2003.14544,-54.90544
2015-12-10,1952.07,2002.34464,-50.27464
2015-12-11,1948.62,2001.59504,-52.97504
2015-12-14,1927.82,2000.78784,-72.96784
2015-12-15,1932.97,1999.97272,-67.00272
2015-12-16,1969.4,1999.39288,-29.99288
2015-12-17,1977.96,1998.84088,-20.88088
2015-12-18,1975.32,1998.20216,-22.88216
2015-12-21,1981.19,1997.40208,-16.21208
2015-12-22,1992.56,1996.65832,-4.09832
2015-12-23,1999.22,1995.9716,3.2484
2015-12-24,1990.65,1995.17472,-4.52472
2015-12-28,1964.06,1994.40328,-30.34328
2015-12-29,1966.31,1993.54016,-27.23016
2015-12-30,1961.31,1992.44752,-31.13752
2016-01-04,1918.76,1990.93896,-72.17896
2016-01-05,1930.53,1989.54792,-59.01792
2016-01-06,1925.43,1988.51992,-63.08992
2016-01-07,1904.33,1987.43224,-83.10224
2016-01-08,1917.62,1986.64352,-69.02352
2016-01-11,1894.84,1985.57976,-90.73976
2016-01-12,1890.86,1984.45728,-93.59728
2016-01-13,1916.28,1983.29536,-67.01536
2016-01-14,1900.01,1982.0216,-82.0116
2016-01-15,1878.87,1980.46928,-101.59928
2016-01-18,1878.45,1978.79376,-100.34376
2016-01-19,1889.64,1977.29656,-87.65656
2016-01-20,1845.45,1975.47368,-130.02368
2016-01-21,1840.53,1973.52896,-132.99896
2016-01-22,1879.43,1972.04656,-92.61656
2016-01-25,1893.43,1970.67344,-77.24344
2016-01-26,1871.69,1969.27928,-97.58928
2016-01-27,1897.87,1968.15176,-70.28176
2016-01-28,1906.94,1967.09448,-60.15448
2016-01-29,1912.06,1966.09,-54.03
2016-02-01,1924.82,1965.33632,-40.51632
2016-02-02,1906.6,1964.34784,-57.74784
2016-02-03,1890.67,1963.40528,-72.73528
2016-02-04,1916.26,1962.51144,-46.25144
2016-02-05,1917.79,1961.61568,-43.82568
2016-02-11,1861.54,1960.40168,-98.86168
2016-02-12,1835.28,1959.00208,-123.72208
2016-02-15,1862.2,1957.87432,-95.67432
2016-02-16,1888.3,1957.08752,-68.78752
2016-02-17,1883.94,1956.35528,-72.41528
2016-02-18,1908.84,1955.75832,-46.91832
2016-02-19,1916.24,1955.34008,-39.10008
2016-02-22,1916.36,1955.02088,-38.66088
2016-02-23,1914.22,1954.8196,-40.5996
2016-02-24,1912.53,1954.80344,-42.27344
2016-02-25,1918.57,1955.14344,-36.57344
2016-02-26,1920.16,1955.86624,-35.70624
2016-02-29,1916.66,1956.42648,-39.76648
2016-03-02,1947.42,1956.85312,-9.43312
2016-03-03,1958.17,1957.25448,0.91552
2016-03-04,1955.63,1957.39816,-1.76816
2016-03-07,1957.87,1957.5292,0.3408
2016-03-08,1946.12,1957.78432,-11.66432
2016-03-09,1952.95,1958.08616,-5.13616
2016-03-10,1969.33,1958.51656,10.81344
2016-03-11,1971.41,1959.19952,12.21048
2016-03-14,1972.27,1959.91192,12.35808
2016-03-15,1969.97,1960.64224,9.32776
2016-03-16,1974.9,1960.96784,13.93216
2016-03-17,1987.99,1961.17488,26.81512
2016-03-18,1992.12,1961.58088,30.53912
2016-03-21,1989.76,1962.04728,27.71272
2016-03-22,1996.81,1962.52128,34.28872
2016-03-23,1995.12,1962.67864,32.44136
2016-03-24,1985.97,1962.75448,23.21552
2016-03-25,1983.81,1962.65736,21.15264
2016-03-28,1982.54,1962.80024,19.73976
2016-03-29,1994.91,1962.90304,32.00696
2016-03-30,2002.14,1963.36304,38.77696
2016-03-31,1995.85,1963.75304,32.09696
2016-04-01,1973.57,1963.9988,9.5712
2016-04-04,1978.97,1964.12808,14.84192
2016-04-05,1962.74,1963.99544,-1.25544
2016-04-06,1971.32,1964.00856,7.31144
2016-04-07,1973.89,1963.97368,9.91632
2016-04-08,1972.05,1963.82488,8.22512
2016-04-11,1970.37,1963.54112,6.82888
2016-04-12,1981.32,1963.23544,18.08456
2016-04-14,2015.93,1963.18984,52.74016
2016-04-15,2014.71,1963.15512,51.55488
2016-04-18,2009.1,1963.15152,45.94848
2016-04-19,2011.36,1962.97624,48.38376
2016-04-20,2005.83,1962.7808,43.0492
2016-04-21,2022.1,1962.71544,59.38456
2016-04-22,2015.49,1962.52448,52.96552
2016-04-25,2014.55,1962.29704,52.25296
2016-04-26,2019.63,1962.27008,57.35992
2016-04-27,2015.4,1962.07008,53.32992
2016-04-28,2000.93,1961.69288,39.23712
2016-04-29,1994.15,1961.28888,32.86112
2016-05-02,1978.15,1960.774,17.376
2016-05-03,1986.41,1960.392,26.018
2016-05-04,1976.71,1959.96992,16.74008
2016-05-09,1967.81,1959.43048,8.37952
2016-05-10,1982.5,1958.90328,23.59672
2016-05-11,1980.1,1958.32192,21.77808
2016-05-12,1977.49,1957.74656,19.74344
2016-05-13,1966.99,1957.15392,9.83608
2016-05-16,1967.91,1956.6916,11.2184
2016-05-17,1968.06,1956.46336,11.59664
2016-05-18,1956.73,1956.13904,0.59096
2016-05-19,1946.78,1955.7664,-8.9864
2016-05-20,1947.67,1955.56144,-7.89144
2016-05-23,1955.25,1955.65928,-0.40928
2016-05-24,1937.68,1955.45208,-17.77208
2016-05-25,1960.51,1955.43312,5.07688
2016-05-26,1957.06,1955.17832,1.88168
2016-05-27,1969.17,1955.0128,14.1572
2016-05-30,1967.13,1954.72024,12.40976
2016-05-31,1983.4,1954.45712,28.94288
2016-06-01,1982.72,1954.24352,28.47648
2016-06-02,1985.11,1953.87896,31.23104
2016-06-03,1985.84,1953.53376,32.30624
2016-06-07,2011.63,1953.69104,57.93896
2016-06-08,2027.08,1953.71624,73.36376
2016-06-09,2024.17,1953.83528,70.33472
2016-06-10,2017.63,1954.02376,63.60624
2016-06-13,1979.06,1954.06104,24.99896
2016-06-14,1972.03,1954.12792,17.90208
2016-06-15,1968.83,1954.28624,14.54376
